Word,Visual,Textual,Phonetic,All
coast,81.49833333333330,65.21833333333340,70.19166666666670,68.68833333333330
plate,69.69,78.81666666666670,72.78833333333330,77.96666666666670
fort,75.13,68.56166666666670,67.51833333333340,68.23166666666670
name,60.85500000000000,53.82,67.27166666666670,52.04833333333330
south,66.89333333333340,67.8816666666667,68.4283333333333,65.37333333333340
temple,80.88166666666670,72.81,63.48000000000000,74.91166666666670
men,70.29166666666670,65.53,69.48000000000000,65.58833333333330
below,71.66166666666670,55.35166666666670,42.76833333333330,57.695
boy,75.51500000000000,83.90166666666670,75.65833333333340,81.75333333333330
district,61.7066666666667,68.71833333333340,64.82500000000000,70.8066666666667
bath,61.408333333333300,85.04333333333330,68.44,81.93666666666670
harbor,77.04000000000000,75.65666666666670,79.04999999999990,78.68166666666660
transport,69.20500000000000,70.66333333333340,58.86333333333340,67.77500000000000
fauna,79.51166666666670,65.16166666666670,61.87833333333330,66.95500000000000
estate,75.94000000000000,71.91000000000000,47.473333333333300,66.31666666666670
something,46.08000000000000,41.36000000000000,59.60500000000000,38.54166666666670
funny,76.80833333333340,71.25166666666670,81.81833333333330,75.78833333333330
rural,78.72333333333330,69.13833333333340,57.33833333333330,67.33833333333340
myself,80.54333333333330,50.13333333333330,52.37500000000000,57.49833333333330
subway,65.42333333333340,79.48,77.05833333333330,78.82833333333330
woman,66.24833333333330,84.99166666666670,70.85166666666670,84.36000000000000
plant,82.97833333333330,76.6166666666667,73.39000000000000,78.80000000000000
dress,77.95666666666670,79.83833333333330,64.21500000000000,80.13000000000000
friend,67.32,80.965,66.67000000000000,80.98000000000000
cold,71.25333333333330,82.92833333333340,72.685,85.18333333333330
mission,59.50833333333330,60.94333333333340,81.16166666666670,62.68500000000000
guy,60.72666666666670,68.8033333333333,71.16666666666670,75.64500000000000
tourist,74.66833333333330,69.62833333333330,69.18500000000000,69.77000000000000
future,56.14500000000000,52.58,63.696666666666700,51.04666666666670
beauty,62.53000000000000,81.35833333333330,75.085,81.4116666666667
focus,65.29499999999990,55.64500000000000,76.54666666666670,58.89833333333330
random,43.79666666666670,58.716666666666700,66.05833333333330,47.99166666666670
breakfast,82.56000000000000,84.47500000000000,68.64000000000000,85.06833333333340
plastic,79.91833333333340,81.63166666666670,68.34666666666670,81.03666666666670
abstract,70.805,57.656666666666700,69.75833333333340,63.68333333333340
boulder,76.8483333333333,77.64333333333340,69.80500000000000,76.98666666666670
west,71.09166666666670,65.48833333333340,64.83166666666670,66.81833333333340
union,60.18500000000000,68.71500000000000,72.57333333333340,67.47333333333340
aerial,80.72166666666670,67.3333333333333,44.236666666666700,67.93500000000000
charity,62.26666666666670,61.63333333333330,66.70500000000000,65.25666666666670
sound,68.43,67.02000000000000,68.69833333333330,70.82666666666670
pool,77.02166666666670,79.68500000000000,74.29,80.07833333333330
mirror,75.13833333333330,80.28666666666670,77.2,81.43833333333340
solo,64.78666666666670,71.01500000000000,66.61333333333330,69.77000000000000
concrete,75.4616666666667,72.45500000000000,67.37666666666670,75.5683333333333
apartment,58.09166666666670,83.22833333333330,62.588333333333400,82.99166666666670
pizza,84.70833333333330,84.0616666666667,62.32500000000000,85.03166666666670
card,76.69833333333330,70.1816666666667,72.82666666666670,70.24833333333330
scuba,76.73166666666670,77.01833333333330,71.995,72.22500000000000
rust,70.30666666666670,84.78333333333340,62.72833333333330,84.39000000000010
flag,73.04666666666670,68.88500000000000,72.66833333333330,67.74166666666670
demonstration,59.36500000000000,55.24833333333330,59.4266666666667,58.53833333333330
lady,68.72666666666670,84.86000000000000,75.10666666666670,84.81166666666670
force,60.71833333333330,60.00500000000000,69.36166666666660,56.96333333333330
resolution,60.78333333333330,55.38666666666660,62.525000000000000,56.17666666666670
email,64.425,58.50666666666670,72.75500000000000,62.16666666666670
daughter,79.39333333333340,84.14166666666670,70.48666666666670,85.35000000000000
leaf,80.43000000000000,84.59666666666670,69.89291666666670,85.915
yard,82.84833333333340,77.53000000000000,74.89000000000000,81.09666666666670
space,57.09833333333340,60.345000000000000,71.88166666666670,54.01666666666670
motor,68.15833333333340,71.30666666666670,70.95833333333330,70.61000000000000
early,56.435,51.340000000000000,50.43500000000000,52.93000000000000
inside,60.65166666666670,71.95833333333330,50.92833333333340,69.33666666666670
puppy,82.47,80.40833333333340,75.68666666666670,82.68333333333340
kitten,79.825,79.83166666666670,81.28833333333340,79.8916666666667
research,74.30666666666670,54.75166666666670,52.57166666666670,51.94833333333330
provide,57.38833333333330,47.515,58.06166666666670,47.11000000000000
dusk,80.32000000000000,84.055,70.28333333333340,84.43000000000010
self,80.43333333333330,59.62333333333330,66.09500000000000,63.87666666666670
rail,73.42333333333340,75.0666666666667,70.20666666666670,72.02500000000000
famous,66.35666666666670,76.53000000000000,76.305,76.32166666666670
guitar,72.70500000000000,79.86000000000000,38.33000000000000,81.58333333333330
wanted,59.85166666666670,38.50833333333330,73.31666666666670,45.80166666666670
picnic,73.8883333333333,83.60500000000000,72.65750000000000,82.49833333333330
break,57.946666666666700,49.69,72.50000000000000,54.77333333333330
chair,70.47166666666670,67.27000000000000,69.64500000000000,63.33833333333330
need,45.716666666666700,40.06333333333340,66.18500000000000,43.80500000000000
floor,68.64666666666670,79.91000000000000,77.54833333333330,81.85666666666670
company,58.88666666666670,66.21333333333340,73.19666666666670,65.66166666666670
navy,67.78666666666660,68.145,65.90666666666670,74.62666666666670
kitty,79.08000000000000,82.25000000000000,77.60666666666670,84.4016666666667
gallery,69.21333333333330,69.45500000000000,75.8,75.42333333333330
dad,66.88000000000000,84.73333333333330,74.58500000000000,80.52333333333330
pond,78.86833333333330,84.88,73.06,85.19000000000000
roof,81.90833333333340,83.60333333333330,71.945,82.4666666666667
mini,65.26166666666670,74.645,70.94333333333330,76.8616666666667
alpha,67.61000000000000,59.31666666666670,60.88833333333330,54.73166666666670
past,56.80166666666670,40.52666666666670,69.38166666666670,49.39
explore,54.24500000000000,54.48666666666670,50.14666666666670,52.071666666666600
exposure,72.665,48.87500000000000,58.27333333333330,60.24666666666670
journey,72.92833333333330,69.88166666666670,65.84500000000000,72.15333333333330
slide,60.04500000000000,76.17833333333330,67.71833333333340,76.25000000000000
smoke,73.88833333333340,85.49666666666670,72.82666666666670,82.67000000000000
spider,81.29500000000000,80.035,71.81333333333330,84.04166666666670
pretty,63.40000000000000,42.13,73.87166666666670,51.57333333333330
honor,61.89166666666670,62.31166666666670,53.67333333333330,58.57333333333340
stop,57.70500000000000,56.655000000000000,67.55791666666670,52.86333333333330
challenge,60.955,54.55333333333330,73.27833333333340,54.06333333333330
government,63.96000000000000,63.82500000000000,61.44500000000000,63.36333333333330
summit,61.165000000000000,66.71666666666660,70.605,68.05833333333330
plaza,70.79666666666660,80.99333333333330,76.16666666666670,78.62333333333340
weather,80.47166666666670,68.37333333333340,54.52000000000000,70.50166666666670
neon,73.94666666666670,83.79166666666670,62.93333333333330,82.95500000000010
review,62.66166666666670,54.54833333333330,53.11000000000000,52.620000000000000
hour,55.18666666666670,58.37833333333330,72.585,57.158333333333300
case,43.29666666666670,49.67333333333330,77.98666666666670,49.646666666666700
doing,55.128333333333400,36.01000000000000,67.3733333333333,42.72833333333330
silver,58.01333333333330,83.26500000000000,75.66666666666670,81.82000000000000
pattern,69.14166666666670,58.17,75.19000000000000,53.85166666666670
crew,63.73666666666670,64.91666666666670,71.30166666666670,65.80000000000000
classic,75.09333333333330,70.22666666666670,70.57333333333330,70.38666666666670
religion,58.10166666666670,61.92333333333330,47.60333333333330,58.92666666666670
factory,73.32833333333330,79.10833333333330,73.62833333333330,81.12000000000000
cycle,64.35666666666670,59.64333333333330,67.09166666666670,60.04666666666670
vehicle,78.24666666666670,71.04833333333340,69.48166666666670,73.76666666666660
monkey,80.09166666666670,85.16666666666670,65.14500000000000,85.55000000000000
call,54.183333333333400,48.911666666666700,74.0333333333333,52.173333333333300
truck,79.74000000000010,85.93500000000000,70.95833333333330,84.06666666666670
